,match_id,game_mode,duration,hero_id,kills,deaths,assists
0,6970668298,22,2212,81,14,5,3
1,6970592189,22,3335,54,14,4,10
2,6970507248,22,2610,100,12,6,22
3,6970435022,22,2659,6,13,1,20
4,6970230713,22,3320,52,16,6,18
5,6970139587,22,2755,75,12,13,14
6,6969926069,22,2547,31,4,3,32
7,6958764204,22,2501,101,11,4,23
8,6958643149,22,3901,15,12,5,23
9,6958180588,22,2855,58,4,2,13
10,6958106764,22,1711,15,5,1,12
11,6957971916,22,3314,4,26,4,14
12,6957871391,22,2302,69,6,8,11
13,6874149292,22,1810,137,7,8,4
14,6874042592,22,3166,34,8,4,15
15,6873941521,22,2832,22,24,4,18
16,6873847061,22,2233,114,4,9,2
17,6873723289,22,2766,13,9,5,8
18,6873552792,22,3693,43,14,12,21
19,6873339777,22,2633,135,6,9,17
